year,JDT,DOY,Time,PAR.HW
2003,4764.44,16,11,411.29999
2003,4764.46,16,11.5,675.79999
2003,4764.48,16,12,628.79999
2003,4764.5,16,12.5,658.90002
2003,4764.52,16,13,410.70001
2003,4764.54,16,13.5,570.83337
2003,4764.56,16,14,727.75232
2003,4764.58,16,14.5,406.59164
2003,4764.6,16,15,235.79561
2003,4764.63,16,15.5,184.17363
2003,4764.65,16,16,154.08096
2003,4764.67,16,16.5,79.705574
2003,4764.69,16,17,25.523367
2003,4764.71,16,17.5,0
2003,4764.73,16,18,0
2003,4764.75,16,18.5,0
2003,4764.77,16,19,0
2003,4764.79,16,19.5,0
2003,4764.81,16,20,0
2003,4764.83,16,20.5,0
2003,4764.85,16,21,0
2003,4764.88,16,21.5,0
2003,4764.9,16,22,0
2003,4764.92,16,22.5,0
2003,4764.94,16,23,0
2003,4764.96,16,23.5,0
2003,4764.98,16,24,0
2003,4765,17,0.5,0
2003,4765.02,17,1,0
2003,4765.04,17,1.5,0
2003,4765.06,17,2,0
2003,4765.08,17,2.5,0
2003,4765.1,17,3,0
2003,4765.13,17,3.5,0
2003,4765.15,17,4,0
2003,4765.17,17,4.5,0
2003,4765.19,17,5,0
2003,4765.21,17,5.5,0
2003,4765.23,17,6,0
2003,4765.25,17,6.5,0
2003,4765.27,17,7,0
2003,4765.29,17,7.5,0
2003,4765.31,17,8,51.954647
2003,4765.33,17,8.5,163.59952
2003,4765.35,17,9,361.58981
2003,4765.38,17,9.5,573.64392
2003,4765.4,17,10,694.17932
2003,4765.42,17,10.5,831.67688
2003,4765.44,17,11,914.89569
2003,4765.46,17,11.5,965.11237
2003,4765.48,17,12,1000.1564
2003,4765.5,17,12.5,1003.2305
2003,4765.52,17,13,910.88843
2003,4765.54,17,13.5,939.38922
2003,4765.56,17,14,867.72009
2003,4765.58,17,14.5,768.77979
2003,4765.6,17,15,644.28101
2003,4765.63,17,15.5,502.74332
2003,4765.65,17,16,347.64688
2003,4765.67,17,16.5,201.75058
2003,4765.69,17,17,69.495361
2003,4765.71,17,17.5,0
2003,4765.73,17,18,0
2003,4765.75,17,18.5,0
2003,4765.77,17,19,0
2003,4765.79,17,19.5,0
2003,4765.81,17,20,0
2003,4765.83,17,20.5,0
2003,4765.85,17,21,0
2003,4765.88,17,21.5,0
2003,4765.9,17,22,0
2003,4765.92,17,22.5,0
2003,4765.94,17,23,0
2003,4765.96,17,23.5,0
2003,4765.98,17,24,0
2003,4766,18,0.5,0
2003,4766.02,18,1,0
2003,4766.04,18,1.5,0
2003,4766.06,18,2,0
2003,4766.08,18,2.5,0
2003,4766.1,18,3,0
2003,4766.13,18,3.5,0
2003,4766.15,18,4,0
2003,4766.17,18,4.5,0
2003,4766.19,18,5,0
2003,4766.21,18,5.5,0
2003,4766.23,18,6,0
2003,4766.25,18,6.5,0
2003,4766.27,18,7,0
2003,4766.29,18,7.5,0
2003,4766.31,18,8,123.05507
2003,4766.33,18,8.5,290.67825
2003,4766.35,18,9,465.50348
2003,4766.38,18,9.5,626.31982
2003,4766.4,18,10,768.02228
2003,4766.42,18,10.5,848.84766
2003,4766.44,18,11,924.02991
2003,4766.46,18,11.5,981.74512
2003,4766.48,18,12,1009.2908
2003,4766.5,18,12.5,1012.2989
2003,4766.52,18,13,986.53186
2003,4766.54,18,13.5,933.27405
2003,4766.56,18,14,855.44586
2003,4766.58,18,14.5,762.7525
2003,4766.6,18,15,640.37262
2003,4766.63,18,15.5,501.57956
2003,4766.65,18,16,353.13623
2003,4766.67,18,16.5,201.59688
2003,4766.69,18,17,58.369518
2003,4766.71,18,17.5,0
2003,4766.73,18,18,0
2003,4766.75,18,18.5,0
2003,4766.77,18,19,0
2003,4766.79,18,19.5,0
2003,4766.81,18,20,0
2003,4766.83,18,20.5,0
2003,4766.85,18,21,0
2003,4766.88,18,21.5,0
2003,4766.9,18,22,0
2003,4766.92,18,22.5,0
2003,4766.94,18,23,0
2003,4766.96,18,23.5,0
2003,4766.98,18,24,0
2003,4767,19,0.5,0
2003,4767.02,19,1,0
2003,4767.04,19,1.5,0
2003,4767.06,19,2,0
2003,4767.08,19,2.5,0
2003,4767.1,19,3,0
2003,4767.13,19,3.5,0
2003,4767.15,19,4,0
2003,4767.17,19,4.5,0
2003,4767.19,19,5,0
2003,4767.21,19,5.5,0
