year,JDT,DOY,Time,SM.HW
2003,4757.38,9,930,0.433210534
2003,4757.4,9,1000,0.433108825
2003,4757.42,9,1030,0.43307446
2003,4757.44,9,1100,0.43325801
2003,4757.46,9,1130,0.433368001
2003,4757.48,9,1200,0.433367128
2003,4757.5,9,1230,0.433477319
2003,4757.52,9,1300,0.433677464
2003,4757.54,9,1330,0.433513072
2003,4757.56,9,1400,0.433457024
2003,4757.58,9,1430,0.433271277
2003,4757.6,9,1500,0.433196938
2003,4757.63,9,1530,0.432907953
2003,4757.65,9,1600,0.43274087
2003,4757.67,9,1630,0.432739994
2003,4757.69,9,1700,0.432638439
2003,4757.71,9,1730,0.432493051
2003,4757.73,9,1800,0.432308138
2003,4757.75,9,1830,0.432252188
2003,4757.77,9,1900,0.432140638
2003,4757.79,9,1930,0.43213976
2003,4757.81,9,2000,0.432138884
2003,4757.83,9,2030,0.431954502
2003,4757.85,9,2100,0.431953624
2003,4757.88,9,2130,0.431827791
2003,4757.9,9,2200,0.431826914
2003,4757.92,9,2230,0.431810573
2003,4757.94,9,2300,0.431864764
2003,4757.96,9,2330,0.431863888
2003,4757.98,9,2400,0.431689462
2003,4758,10,30,0.431688581
2003,4758.02,10,100,0.431380051
2003,4758.04,10,130,0.431379174
2003,4758.06,10,200,0.43117879
2003,4758.08,10,230,0.431177909
2003,4758.1,10,300,0.431266261
2003,4758.13,10,330,0.431265384
2003,4758.15,10,400,0.431191611
2003,4758.17,10,430,0.430790524
2003,4758.19,10,500,0.43064545
2003,4758.21,10,530,0.430644568
2003,4758.23,10,600,0.430555363
2003,4758.25,10,630,0.430609548
2003,4758.27,10,700,0.43050831
2003,4758.29,10,730,0.430507426
2003,4758.31,10,800,0.430506543
2003,4758.33,10,830,0.430595073
2003,4758.35,10,900,0.430594188
2003,4758.38,10,930,0.430466065
2003,4758.4,10,1000,0.430465179
2003,4758.42,10,1030,0.430464296
2003,4758.44,10,1100,0.430375259
2003,4758.46,10,1130,0.430484457
2003,4758.48,10,1200,0.430483572
2003,4758.5,10,1230,0.430521074
2003,4758.52,10,1300,0.430419993
2003,4758.54,10,1330,0.430419108
2003,4758.56,10,1400,0.43041822
2003,4758.58,10,1430,0.430307062
2003,4758.6,10,1500,0.430306182
2003,4758.63,10,1530,0.430305295
2003,4758.65,10,1600,0.430194328
2003,4758.67,10,1630,0.429867323
2003,4758.69,10,1700,0.429811401
2003,4758.71,10,1730,0.429738908
2003,4758.73,10,1800,0.429331883
2003,4758.75,10,1830,0.429330998
2003,4758.77,10,1900,0.428968804
2003,4758.79,10,1930,0.428967921
2003,4758.81,10,2000,0.428967034
2003,4758.83,10,2030,0.429091083
2003,4758.85,10,2100,0.429091633
2003,4758.88,10,2130,0.429090748
2003,4758.9,10,2200,0.429035583
2003,4758.92,10,2230,0.429034694
2003,4758.94,10,2300,0.429033808
2003,4758.96,10,2330,0.429032924
2003,4758.98,10,2400,0.429032036
2003,4759,11,30,0.428959816
2003,4759.02,11,100,0.428697244
2003,4759.04,11,130,0.428696359
2003,4759.06,11,200,0.428695468
2003,4759.08,11,230,0.428535574
2003,4759.1,11,300,0.428425573
2003,4759.13,11,330,0.428424683
2003,4759.15,11,400,0.428423793
2003,4759.17,11,430,0.428422905
2003,4759.19,11,500,0.428313088
2003,4759.21,11,530,0.428366322
2003,4759.23,11,600,0.428455218
2003,4759.25,11,630,0.428454328
2003,4759.27,11,700,0.428453441
2003,4759.29,11,730,0.428452552
2003,4759.31,11,800,0.428113006
2003,4759.33,11,830,0.428167176
2003,4759.35,11,900,0.42823735
2003,4759.38,11,930,0.428264568
2003,4759.4,11,1000,0.428318777
2003,4759.42,11,1030,0.428317885
2003,4759.44,11,1100,0.428426109
2003,4759.46,11,1130,0.42865995
2003,4759.48,11,1200,0.428588139
2003,4759.5,11,1230,0.428516466
2003,4759.52,11,1300,0.428444934
2003,4759.54,11,1330,0.427928153
2003,4759.56,11,1400,0.428022248
2003,4759.58,11,1430,0.427895928
2003,4759.6,11,1500,0.427785728
2003,4759.63,11,1530,0.4276608
2003,4759.65,11,1600,0.427924249
2003,4759.67,11,1630,0.427600552
2003,4759.69,11,1700,0.42723415
2003,4759.71,11,1730,0.426967468
2003,4759.73,11,1800,0.426911543
2003,4759.75,11,1830,0.426412913
2003,4759.77,11,1900,0.426343038
2003,4759.79,11,1930,0.426342138
2003,4759.81,11,2000,0.426258726
2003,4759.83,11,2030,0.42625782
2003,4759.85,11,2100,0.426188357
2003,4759.88,11,2130,0.426078908
2003,4759.9,11,2200,0.42609955
2003,4759.92,11,2230,0.426261654
2003,4759.94,11,2300,0.426260753
2003,4759.96,11,2330,0.42625985
2003,4759.98,11,2400,0.426258948
2003,4760,12,30,0.426189478
2003,4760.02,12,100,0.426156328
2003,4760.04,12,130,0.42610037
2003,4760.06,12,200,0.426031031
2003,4760.08,12,230,0.426016883
2003,4760.1,12,300,0.426015981
2003,4760.13,12,330,0.425799928
2003,4760.15,12,400,0.425799023
2003,4760.17,12,430,0.425621596
2003,4760.19,12,500,0.425688858
2003,4760.21,12,530,0.425619787
2003,4760.23,12,600,0.425618884
2003,4760.25,12,630,0.425641948
2003,4760.27,12,700,0.425622214
2003,4760.29,12,730,0.42536864
2003,4760.31,12,800,0.424751043
2003,4760.33,12,830,0.424884187
2003,4760.35,12,900,0.425175713
2003,4760.38,12,930,0.425367848
2003,4760.4,12,1000,0.425598151
2003,4760.42,12,1030,0.425665146
2003,4760.44,12,1100,0.425840819
2003,4760.46,12,1130,0.425636198
2003,4760.48,12,1200,0.425606758
2003,4760.5,12,1230,0.425240198
2003,4760.52,12,1300,0.425105749
2003,4760.54,12,1330,0.425601243
2003,4760.56,12,1400,0.425350464
2003,4760.58,12,1430,0.42511008
2003,4760.6,12,1500,0.424688413
2003,4760.63,12,1530,0.424445948
2003,4760.65,12,1600,0.424778568
2003,4760.67,12,1630,0.424856948
2003,4760.69,12,1700,0.424856041
2003,4760.71,12,1730,0.424458492
2003,4760.73,12,1800,0.424245371
2003,4760.75,12,1830,0.42397064
2003,4760.77,12,1900,0.424003852
2003,4760.79,12,1930,0.423782604
2003,4760.81,12,2000,0.42378169
2003,4760.83,12,2030,0.424785491
2003,4760.85,12,2100,0.42485264
2003,4760.88,12,2130,0.42478368
2003,4760.9,12,2200,0.424714854
2003,4760.92,12,2230,0.424647791
2003,4760.94,12,2300,0.424445959
2003,4760.96,12,2330,0.424379428
2003,4760.98,12,2400,0.424112478
2003,4761,13,30,0.423980152
2003,4761.02,13,100,0.423980864
2003,4761.04,13,130,0.423648864
2003,4761.06,13,200,0.423101056
2003,4761.08,13,230,0.423101771
2003,4761.1,13,300,0.423102483
2003,4761.13,13,330,0.423004404
2003,4761.15,13,400,0.423005117
2003,4761.17,13,430,0.423005832
2003,4761.19,13,500,0.423006543
2003,4761.21,13,530,0.422854129
2003,4761.23,13,600,0.422792256
2003,4761.25,13,630,0.422792969
2003,4761.27,13,700,0.422793681
2003,4761.29,13,730,0.422794393
2003,4761.31,13,800,0.422795109
2003,4761.33,13,830,0.422850873
2003,4761.35,13,900,0.422914171
2003,4761.38,13,930,0.422990071
2003,4761.4,13,1000,0.423170358
2003,4761.42,13,1030,0.423170924
2003,4761.44,13,1100,0.423234292
2003,4761.46,13,1130,0.422887097
2003,4761.48,13,1200,0.422832578
2003,4761.5,13,1230,0.422766937
2003,4761.52,13,1300,0.422885492
2003,4761.54,13,1330,0.422886058
2003,4761.56,13,1400,0.422831538
2003,4761.58,13,1430,0.422887279
2003,4761.6,13,1500,0.422821783
2003,4761.63,13,1530,0.422822491
2003,4761.65,13,1600,0.422705247
2003,4761.67,13,1630,0.422637118
2003,4761.69,13,1700,0.422492456
2003,4761.71,13,1730,0.422364287
2003,4761.73,13,1800,0.422364995
2003,4761.75,13,1830,0.422303016
2003,4761.77,13,1900,0.422124118
2003,4761.79,13,1930,0.422124828
2003,4761.81,13,2000,0.421964468
2003,4761.83,13,2030,0.422450393
2003,4761.85,13,2100,0.422332731
2003,4761.88,13,2130,0.422133604
2003,4761.9,13,2200,0.422401037
2003,4761.92,13,2230,0.422135028
2003,4761.94,13,2300,0.421937082
2003,4761.96,13,2330,0.421937792
2003,4761.98,13,2400,0.422203653
2003,4762,14,30,0.422005306
2003,4762.02,14,100,0.421742436
2003,4762.04,14,130,0.421674426
2003,4762.06,14,200,0.421609563
2003,4762.08,14,230,0.421610272
2003,4762.1,14,300,0.421545538
2003,4762.13,14,330,0.421636614
2003,4762.15,14,400,0.421572008
2003,4762.17,14,430,0.422165237
2003,4762.19,14,500,0.422303355
2003,4762.21,14,530,0.42224682
2003,4762.23,14,600,0.422180647
2003,4762.25,14,630,0.422145615
2003,4762.27,14,700,0.421981362
2003,4762.29,14,730,0.421885338
2003,4762.31,14,800,0.421520078
2003,4762.33,14,830,0.421259243
2003,4762.35,14,900,0.421322523
2003,4762.38,14,930,0.421378273
2003,4762.4,14,1000,0.421444171
2003,4762.42,14,1030,0.421572882
2003,4762.44,14,1100,0.421767584
2003,4762.46,14,1130,0.421571153
2003,4762.48,14,1200,0.421779939
2003,4762.5,14,1230,0.421714671
2003,4762.52,14,1300,0.421646607
2003,4762.54,14,1330,0.421388158
2003,4762.56,14,1400,0.421388863
2003,4762.58,14,1430,0.421291381
2003,4762.6,14,1500,0.421146702
2003,4762.63,14,1530,0.421147411
2003,4762.65,14,1600,0.421082915
2003,4762.67,14,1630,0.421028646
2003,4762.69,14,1700,0.420966671
2003,4762.71,14,1730,0.421032579
2003,4762.73,14,1800,0.420968084
2003,4762.75,14,1830,0.420841143
2003,4762.77,14,1900,0.420841846
2003,4762.79,14,1930,0.420627747
2003,4762.81,14,2000,0.421038882
2003,4762.83,14,2030,0.420564207
2003,4762.85,14,2100,0.420825488
2003,4762.88,14,2130,0.420843134
2003,4762.9,14,2200,0.420844153
2003,4762.92,14,2230,0.421043138
2003,4762.94,14,2300,0.420975683
2003,4762.96,14,2330,0.420890398
2003,4762.98,14,2400,0.420762837
2003,4763,15,30,0.420829979
2003,4763.02,15,100,0.420732962
2003,4763.04,15,130,0.420733983
2003,4763.06,15,200,0.420859605
2003,4763.08,15,230,0.420860627
2003,4763.1,15,300,0.420733169
2003,4763.13,15,330,0.420609584
2003,4763.15,15,400,0.420362195
2003,4763.17,15,430,0.420363217
2003,4763.19,15,500,0.420430363
2003,4763.21,15,530,0.420431384
2003,4763.23,15,600,0.420432404
2003,4763.25,15,630,0.420371184
2003,4763.27,15,700,0.420434446
2003,4763.29,15,730,0.420373222
2003,4763.31,15,800,0.420305883
2003,4763.33,15,830,0.420306904
2003,4763.35,15,900,0.42028403
2003,4763.38,15,930,0.420406286
2003,4763.4,15,1000,0.420462308
2003,4763.42,15,1030,0.420525679
2003,4763.44,15,1100,0.420682256
2003,4763.46,15,1130,0.420585541
2003,4763.48,15,1200,0.420355478
2003,4763.5,15,1230,0.420371605
2003,4763.52,15,1300,0.420263633
2003,4763.54,15,1330,0.420066233
2003,4763.56,15,1400,0.419807548
2003,4763.58,15,1430,0.419728755
2003,4763.6,15,1500,0.419363571
2003,4763.63,15,1530,0.419042262
2003,4763.65,15,1600,0.418801361
2003,4763.67,15,1630,0.418802373
2003,4763.69,15,1700,0.418723627
2003,4763.71,15,1730,0.418303483
2003,4763.73,15,1800,0.41811595
2003,4763.75,15,1830,0.417992612
2003,4763.77,15,1900,0.417993615
2003,4763.79,15,1930,0.41805879
2003,4763.81,15,2000,0.417811752
2003,4763.83,15,2030,0.41771531
2003,4763.85,15,2100,0.417716313
2003,4763.88,15,2130,0.417631349
2003,4763.9,15,2200,0.417632353
2003,4763.92,15,2230,0.417971613
2003,4763.94,15,2300,0.418228745
2003,4763.96,15,2330,0.418196655
2003,4763.98,15,2400,0.418197668
2003,4764,16,30,0.41813433
2003,4764.02,16,100,0.418003544
2003,4764.04,16,130,0.418004553
2003,4764.06,16,200,0.418005559
2003,4764.08,16,230,0.418006563
2003,4764.1,16,300,0.417943852
2003,4764.13,16,330,0.417944858
2003,4764.15,16,400,0.417882266
2003,4764.17,16,430,0.417819798
2003,4764.19,16,500,0.417820804
2003,4764.21,16,530,0.417821809
2003,4764.23,16,600,0.417822815
2003,4764.25,16,630,0.417823819
2003,4764.27,16,700,0.417568763
2003,4764.29,16,730,0.417322968
2003,4764.31,16,800,0.417323971
2003,4764.33,16,830,0.417324974
2003,4764.35,16,900,0.417324873
2003,4764.38,16,930,0.417257757
2003,4764.4,16,1000,0.417161458
2003,4764.42,16,1030,0.41722469
2003,4764.44,16,1100,0.417225693
2003,4764.46,16,1130,0.417289928
2003,4764.48,16,1200,0.417129933
2003,4764.5,16,1230,0.417130937
2003,4764.52,16,1300,0.417068707
2003,4764.54,16,1330,0.417069705
2003,4764.56,16,1400,0.417070707
2003,4764.58,16,1430,0.417134945
2003,4764.6,16,1500,0.417017749
